FIRSTNAME,LASTNAME,ADDRESS,PHONE,ORGANISATIONAL UNIT
MITCHELL,ALBERTSON,2760 CULBERTSON AVE,589-645-8723,IT
RICHARD,ALEXANDER,4784 MIDLAND AVE,489-486-4168,PAYROLL
DEBORAH,ALLEN,10351 OAK PARK BLVD,454-487-4489,SALES
DAVID,ANDERSON,2548 PRAIRIE ST,485-558-5496,HR
BRENDA,BAKER,8512 ASHTON CT,498-168-9954,IT
DONALD,BENNETT,1114 HUNTER AVE,359-498-5498,HR
LAURA,BROWN,6765 WHYSALL RD,198-497-3189,R&D
NELSON,CHEN,3615 FOX HUNT DR,168-489-5798,SUPPORT
GARY,CLARK,823 MEADOW DR,168-189-1867,R&D
LORI,COOPER,20956 GILL RD,369-489-6987,SALES
PETER,FLETCHER,33025 TALL OAKS ST,659-657-4562,PAYROLL
WILLIAM,FREEMAN,122 EUCLID AVE,654-587-9542,IT
MARIA,GARCIA,2725 WARNER DR,251-658-2848,MARKETING
NORMA,GONZALES,52 OLIVER ST,158-987-6573,PAYROLL
JOHN,HARRIS,2354 FLAGSTONE DR,456-875-2184,HR
MARK,HUDSON,7119 MOUNT JULIET DR,321-958-6485,MARKETING
EDWARD,JOHNSTON,2144 N BALDWIN RD,754-985-6594,SALES
MICHELLE,LANG,6209 SHARP RD,689-695-3548,HR
JAMES,PARKER,1924 OSAUKIE RD,962-658-2483,SALES
MARY,PEREZ,5975 WILLIAM DR,548-962-3654,SALES
KEVIN,PHILLIPS,2321 SOMERVILLE DR,387-489-7847,IT
ROSE,RICHARDSON,3375 MORRISH RD,564-984-6258,SUPPORT
TONY,SALEMI,3832 HIGHLANDER WAY W,449-589-6513,IT
JASON,SMITH,11640 S MORRICE RD,589-645-8723,OPERATIONS
SHAWN,STEWART,3549 BAYBROOK DR,584-957-3548,IT
SHARON,TAYLOR,2257 WINDING WAY DR,584-987-6528,SALES
TIMOTHY,WILSON,11470 WATERS RD,498-168-9954,OPERATIONS
THERESA,YOUNG,5241 WESTON CT,658-965-8456,MARKETING
HECTOR,ZIMMERMANN,819 MOORE ST,658-874-9744,SALES
